Created cusparses_handle
Created cusparses_handle
 Welcome to AMG4PSBLAS version: 1.1.0
 This is the Rotated Anisotropy test program
Created cusparses_handle
Created cusparses_handle
 
Solving    3464 x    3464 grid with θ =          30.0000 ϵ =         100.0000
Overall matrix creation time :  5.84775E+00
Matrix is on device memory
 
 
Preconditioner: ML-VSVBM-4CHEB4-30L1JAC
Preconditioner time:  5.16602E+00
 
FCG:               Iter   Error Estimate        Tolerance
FCG:                  0  1.000000000E+00  1.000000000E-07
FCG:                  1  4.915969597E+01  1.000000000E-07
FCG:                  2  1.242092029E+02  1.000000000E-07
FCG:                  3  7.546117771E+01  1.000000000E-07
FCG:                  4  3.120119748E+01  1.000000000E-07
FCG:                  5  4.238712384E+01  1.000000000E-07
FCG:                  6  5.839776347E+01  1.000000000E-07
FCG:                  7  2.757587695E+01  1.000000000E-07
FCG:                  8  1.256773613E+01  1.000000000E-07
FCG:                  9  1.091829278E+01  1.000000000E-07
FCG:                 10  9.789749025E+00  1.000000000E-07
FCG:                 11  1.102479829E+01  1.000000000E-07
FCG:                 12  1.083025337E+01  1.000000000E-07
FCG:                 13  5.563829730E+00  1.000000000E-07
FCG:                 14  3.502448483E+00  1.000000000E-07
FCG:                 15  3.475903909E+00  1.000000000E-07
FCG:                 16  3.896375145E+00  1.000000000E-07
FCG:                 17  3.685472808E+00  1.000000000E-07
FCG:                 18  2.281127680E+00  1.000000000E-07
FCG:                 19  1.465196366E+00  1.000000000E-07
FCG:                 20  1.311707911E+00  1.000000000E-07
FCG:                 21  1.449770703E+00  1.000000000E-07
FCG:                 22  1.519467320E+00  1.000000000E-07
FCG:                 23  1.393731818E+00  1.000000000E-07
FCG:                 24  1.176501741E+00  1.000000000E-07
FCG:                 25  1.137986640E+00  1.000000000E-07
FCG:                 26  1.253314114E+00  1.000000000E-07
FCG:                 27  1.254201381E+00  1.000000000E-07
FCG:                 28  1.221347104E+00  1.000000000E-07
FCG:                 29  1.274036502E+00  1.000000000E-07
FCG:                 30  1.078403715E+00  1.000000000E-07
FCG:                 31  8.364694241E-01  1.000000000E-07
FCG:                 32  7.764275105E-01  1.000000000E-07
FCG:                 33  7.676641951E-01  1.000000000E-07
FCG:                 34  6.919135862E-01  1.000000000E-07
FCG:                 35  5.493115814E-01  1.000000000E-07
FCG:                 36  4.273876032E-01  1.000000000E-07
FCG:                 37  3.512083239E-01  1.000000000E-07
FCG:                 38  3.021616829E-01  1.000000000E-07
FCG:                 39  2.406063717E-01  1.000000000E-07
