Created cusparses_handle
Created cusparses_handle
 Welcome to AMG4PSBLAS version: 1.1.0
 This is the Rotated Anisotropy test program
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
 
Solving    6928 x    6928 grid with θ =          30.0000 ϵ =         100.0000
Overall matrix creation time :  5.78689E+00
Matrix is on device memory
 
 
Preconditioner: ML-VSVBM-4CHEB4-30L1JAC
Preconditioner time:  5.60192E+00
 
FCG:               Iter   Error Estimate        Tolerance
FCG:                  0  1.000000000E+00  1.000000000E-07
FCG:                  1  9.665435210E+01  1.000000000E-07
FCG:                  2  2.811562176E+02  1.000000000E-07
FCG:                  3  1.111194527E+02  1.000000000E-07
FCG:                  4  4.934462206E+01  1.000000000E-07
FCG:                  5  1.023576371E+02  1.000000000E-07
FCG:                  6  1.253008213E+02  1.000000000E-07
FCG:                  7  5.987790167E+01  1.000000000E-07
FCG:                  8  3.686967582E+01  1.000000000E-07
FCG:                  9  2.360726846E+01  1.000000000E-07
FCG:                 10  2.181083225E+01  1.000000000E-07
FCG:                 11  2.373774671E+01  1.000000000E-07
FCG:                 12  2.338635270E+01  1.000000000E-07
FCG:                 13  1.523762173E+01  1.000000000E-07
FCG:                 14  9.279587136E+00  1.000000000E-07
FCG:                 15  8.526959063E+00  1.000000000E-07
FCG:                 16  1.008023135E+01  1.000000000E-07
FCG:                 17  8.167922254E+00  1.000000000E-07
FCG:                 18  5.528838977E+00  1.000000000E-07
FCG:                 19  3.638173440E+00  1.000000000E-07
FCG:                 20  2.724588172E+00  1.000000000E-07
FCG:                 21  2.479172011E+00  1.000000000E-07
FCG:                 22  2.332422994E+00  1.000000000E-07
FCG:                 23  2.211417680E+00  1.000000000E-07
FCG:                 24  1.781763850E+00  1.000000000E-07
FCG:                 25  1.419758826E+00  1.000000000E-07
FCG:                 26  1.274580633E+00  1.000000000E-07
FCG:                 27  1.067703531E+00  1.000000000E-07
FCG:                 28  1.041202523E+00  1.000000000E-07
FCG:                 29  1.138851166E+00  1.000000000E-07
FCG:                 30  9.310243022E-01  1.000000000E-07
FCG:                 31  8.060426843E-01  1.000000000E-07
FCG:                 32  7.617047225E-01  1.000000000E-07
FCG:                 33  7.063561519E-01  1.000000000E-07
FCG:                 34  6.869895931E-01  1.000000000E-07
FCG:                 35  6.725546884E-01  1.000000000E-07
FCG:                 36  6.203018110E-01  1.000000000E-07
FCG:                 37  5.559992074E-01  1.000000000E-07
FCG:                 38  4.556641163E-01  1.000000000E-07
FCG:                 39  3.665295703E-01  1.000000000E-07
FCG:                 40  3.419378243E-01  1.000000000E-07
FCG:                 41  3.172587489E-01  1.000000000E-07
FCG:                 42  2.658131749E-01  1.000000000E-07
FCG:                 43  2.292354399E-01  1.000000000E-07
FCG:                 44  2.051106151E-01  1.000000000E-07
FCG:                 45  1.550019454E-01  1.000000000E-07
FCG:                 46  1.198574697E-01  1.000000000E-07
FCG:                 47  1.044897481E-01  1.000000000E-07
FCG:                 48  8.814015781E-02  1.000000000E-07
FCG:                 49  7.052154334E-02  1.000000000E-07
FCG:                 50  5.729916634E-02  1.000000000E-07
FCG:                 51  4.663364668E-02  1.000000000E-07
FCG:                 52  3.835509170E-02  1.000000000E-07
FCG:                 53  3.031367546E-02  1.000000000E-07
FCG:                 54  2.497883940E-02  1.000000000E-07
FCG:                 55  2.263712877E-02  1.000000000E-07
FCG:                 56  1.880789713E-02  1.000000000E-07
FCG:                 57  1.483943117E-02  1.000000000E-07
FCG:                 58  1.145488480E-02  1.000000000E-07
FCG:                 59  9.237035903E-03  1.000000000E-07
FCG:                 60  7.421901289E-03  1.000000000E-07
FCG:                 61  6.157905712E-03  1.000000000E-07
FCG:                 62  5.358545834E-03  1.000000000E-07
FCG:                 63  4.570784081E-03  1.000000000E-07
FCG:                 64  3.802571195E-03  1.000000000E-07
FCG:                 65  3.068442836E-03  1.000000000E-07
FCG:                 66  2.542504381E-03  1.000000000E-07
FCG:                 67  2.301731576E-03  1.000000000E-07
FCG:                 68  2.022278416E-03  1.000000000E-07
FCG:                 69  1.801110279E-03  1.000000000E-07
FCG:                 70  1.586038267E-03  1.000000000E-07
FCG:                 71  1.287808153E-03  1.000000000E-07
FCG:                 72  1.033047957E-03  1.000000000E-07
FCG:                 73  8.605386320E-04  1.000000000E-07
FCG:                 74  7.644435874E-04  1.000000000E-07
FCG:                 75  6.730441887E-04  1.000000000E-07
FCG:                 76  5.744924506E-04  1.000000000E-07
FCG:                 77  4.813529586E-04  1.000000000E-07
FCG:                 78  4.001255511E-04  1.000000000E-07
FCG:                 79  3.286390223E-04  1.000000000E-07
FCG:                 80  2.713963192E-04  1.000000000E-07
FCG:                 81  2.390643152E-04  1.000000000E-07
FCG:                 82  2.110004483E-04  1.000000000E-07
FCG:                 83  1.736394474E-04  1.000000000E-07
FCG:                 84  1.367684721E-04  1.000000000E-07
FCG:                 85  1.060238432E-04  1.000000000E-07
FCG:                 86  8.752646637E-05  1.000000000E-07
FCG:                 87  7.397942967E-05  1.000000000E-07
FCG:                 88  6.255407534E-05  1.000000000E-07
FCG:                 89  5.420270283E-05  1.000000000E-07
FCG:                 90  4.479588467E-05  1.000000000E-07
FCG:                 91  3.677932123E-05  1.000000000E-07
FCG:                 92  2.914952499E-05  1.000000000E-07
FCG:                 93  2.463234954E-05  1.000000000E-07
FCG:                 94  2.146576051E-05  1.000000000E-07
FCG:                 95  1.853607821E-05  1.000000000E-07
FCG:                 96  1.624033634E-05  1.000000000E-07
FCG:                 97  1.339708916E-05  1.000000000E-07
FCG:                 98  1.062926104E-05  1.000000000E-07
FCG:                 99  9.104899855E-06  1.000000000E-07
FCG:                100  7.869933259E-06  1.000000000E-07
FCG:                101  6.822556235E-06  1.000000000E-07
FCG:                102  6.060403471E-06  1.000000000E-07
FCG:                103  5.112380437E-06  1.000000000E-07
FCG:                104  4.410346445E-06  1.000000000E-07
FCG:                105  3.752040967E-06  1.000000000E-07
FCG:                106  3.150132483E-06  1.000000000E-07
FCG:                107  2.692597414E-06  1.000000000E-07
FCG:                108  2.329129141E-06  1.000000000E-07
FCG:                109  1.958221535E-06  1.000000000E-07
FCG:                110  1.601604367E-06  1.000000000E-07
FCG:                111  1.265218618E-06  1.000000000E-07
FCG:                112  1.019300636E-06  1.000000000E-07
FCG:                113  8.683460224E-07  1.000000000E-07
FCG:                114  7.379324094E-07  1.000000000E-07
FCG:                115  6.145389029E-07  1.000000000E-07
FCG:                116  5.134350585E-07  1.000000000E-07
FCG:                117  4.239754889E-07  1.000000000E-07
FCG:                118  3.408622248E-07  1.000000000E-07
FCG:                119  2.710568243E-07  1.000000000E-07
FCG:                120  2.244946837E-07  1.000000000E-07
FCG:                121  1.891257950E-07  1.000000000E-07
FCG:                122  1.606181661E-07  1.000000000E-07
FCG:                123  1.319547357E-07  1.000000000E-07
FCG:                124  1.049355877E-07  1.000000000E-07
FCG:                125  8.539519728E-08  1.000000000E-07

 Preconditioner description
  Multilevel Preconditioner
  Outer sweeps:           1
 
  Smoother: 
   Polynomial smoother   
         variant:        POLY_LOTTES
          Degree:                   4
          rho_ba:           1.0000000000000000     
        Local solver details:
   L1 Diagonal solver 
 
  Multilevel hierarchy: 
   Number of levels   :            7
   Operator complexity:    1.1265425227952954     
   Average coarsening :    5.6726305102270986     
 
   Multilevel cycle: VCycle         
   Number of smoother sweeps/degree : pre:            1   post:            1
  Decoupled Aggregator
  Aggregator object type: Decoupled aggregation           
   Parallel aggregation algorithm: decoupled aggr.   
   Aggregation type: SOC measure 1     
   Aggregation prolongator: smoothed       
               with: filtering      
   Damping omega computation: spectral radius estimate
   Spectral radius estimate: infinity norm      
 
  Level            2
   Damping omega value  :  0.39222566808440740     
   Aggregation threshold:   1.0000000000000000E-002
   Coarse Matrix: Global size:               5347647
                     Nonzeros:              48223435
      Local  matrix sizes: min:       667589         max:       674519
                           avg:       668455.9
           Aggregation   ratio:            8.98
 
  Level            3
   Damping omega value  :  0.64524933720701150     
   Aggregation threshold:   1.0000000000000000E-002
   Coarse Matrix: Global size:                604449
                     Nonzeros:               5513985
      Local  matrix sizes: min:        74690         max:        81619
                           avg:        75556.1
           Aggregation   ratio:            8.85
 
  Level            4
   Damping omega value  :  0.66403286805306749     
   Aggregation threshold:   1.0000000000000000E-002
   Coarse Matrix: Global size:                 74777
                     Nonzeros:                693121
      Local  matrix sizes: min:         8481         max:        15410
                           avg:         9347.1
           Aggregation   ratio:            8.08
 
  Level            5
   Damping omega value  :  0.66204324846098306     
   Aggregation threshold:   1.0000000000000000E-002
   Coarse Matrix: Global size:                 14469
                     Nonzeros:                128029
      Local  matrix sizes: min:          935         max:         7875
                           avg:         1808.6
           Aggregation   ratio:            5.17
 
  Level            6
   Damping omega value  :  0.66288635348219638     
   Aggregation threshold:   1.0000000000000000E-002
   Coarse Matrix: Global size:                  7798
                     Nonzeros:                 59740
      Local  matrix sizes: min:           94         max:         7045
                           avg:          974.8
           Aggregation   ratio:            1.86
 
  Level            7  (coarse)
   Coarse matrix: distributed    
   Coarse solver: L1-Jacobi
   Number of sweeps :           30
   Damping omega value  :  0.66306001903712286     
   Aggregation threshold:   1.0000000000000000E-002
   Coarse Matrix: Global size:                  7065
                     Nonzeros:                 50113
      Local  matrix sizes: min:           11         max:         6949
                           avg:          883.1
           Aggregation   ratio:            1.10
   L1 Diagonal solver 
 

 Preconditioner memory usage
 
  Level            1
            Matrix:            696664468
        Descriptor:               305128
          Smoother:             48011056
 
  Level            2
            Matrix:             78349472
        Descriptor:               200032
        Linear map:            542376880
          Smoother:              5396160
 
  Level            3
            Matrix:              9468672
        Descriptor:                67968
        Linear map:             60938876
          Smoother:               652960
 
  Level            4
            Matrix:              1767588
        Descriptor:                22824
        Linear map:              7174944
          Smoother:               123288
 
  Level            5
            Matrix:               883840
        Descriptor:                 6724
        Linear map:              1133832
          Smoother:                63008
 
  Level            6
            Matrix:               880936
        Descriptor:                 2200
        Linear map:               439900
          Smoother:                56368
 
  Level            7  (coarse)
            Matrix:              1043356
        Descriptor:                 1168
        Linear map:               361800
          Smoother:                55600
Computed solution on        8 processors
Linear system size                 :     48011041
Theta                              :          0.52360
Anisotropy eps                     :        100.00000
Number of threads                  :            1
Krylov method                      : FCG
Preconditioner                     : ML-VSVBM-4CHEB4-30L1JAC
Iterations to convergence          :          125
Relative error estimate on exit    :  8.53952E-08
Number of levels in hierarchy      :            7
Time to build hierarchy            :  5.24551E+00
Time to build smoothers            :  3.56412E-01
Total time for preconditioner      :  5.60192E+00
Time to solve system               :  3.65373E+00
Time per iteration                 :  2.92298E-02
Total time                         :  9.25565E+00
Residual 2-norm                    :  3.09387E-12
Residual inf-norm                  :  3.17675E-14
Total memory occupation for A      :   5574807528
Total memory occupation for DESC_A :      4270688
Total memory occupation for PREC   :   7340125760
Storage format for A               : HLG  
Storage format for DESC_A          : BLOCK
