Created cusparses_handle
Created cusparses_handle
 Welcome to AMG4PSBLAS version: 1.1.0
 This is the Rotated Anisotropy test program
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
Created cusparses_handle
 
Solving    6928 x    6928 grid with θ =          30.0000 ϵ =         100.0000
Overall matrix creation time :  5.92135E+00
Matrix is on device memory
 
 
Preconditioner: ML-VSVBM-6OPTCHEB1-30L1JAC
Preconditioner time:  5.48872E+00
 
FCG:               Iter   Error Estimate        Tolerance
FCG:                  0  1.000000000E+00  1.000000000E-07
FCG:                  1  7.222480935E+01  1.000000000E-07
FCG:                  2  2.827593753E+02  1.000000000E-07
FCG:                  3  1.933248807E+02  1.000000000E-07
FCG:                  4  4.526541168E+01  1.000000000E-07
FCG:                  5  1.938986713E+01  1.000000000E-07
FCG:                  6  2.744040051E+01  1.000000000E-07
FCG:                  7  4.475629057E+01  1.000000000E-07
FCG:                  8  4.199248799E+01  1.000000000E-07
FCG:                  9  3.886304101E+01  1.000000000E-07
FCG:                 10  3.132247054E+01  1.000000000E-07
FCG:                 11  2.060559507E+01  1.000000000E-07
FCG:                 12  1.373364955E+01  1.000000000E-07
FCG:                 13  8.422553480E+00  1.000000000E-07
FCG:                 14  6.839291880E+00  1.000000000E-07
FCG:                 15  5.597938452E+00  1.000000000E-07
FCG:                 16  4.066501850E+00  1.000000000E-07
FCG:                 17  3.846222870E+00  1.000000000E-07
FCG:                 18  3.795843431E+00  1.000000000E-07
FCG:                 19  3.664541370E+00  1.000000000E-07
FCG:                 20  3.256253823E+00  1.000000000E-07
FCG:                 21  2.377159007E+00  1.000000000E-07
FCG:                 22  1.549823598E+00  1.000000000E-07
FCG:                 23  1.099115360E+00  1.000000000E-07
FCG:                 24  1.090622990E+00  1.000000000E-07
FCG:                 25  1.051533437E+00  1.000000000E-07
FCG:                 26  9.617007478E-01  1.000000000E-07
FCG:                 27  9.650690822E-01  1.000000000E-07
FCG:                 28  1.027892734E+00  1.000000000E-07
FCG:                 29  9.904003335E-01  1.000000000E-07
FCG:                 30  9.040540062E-01  1.000000000E-07
FCG:                 31  7.474134647E-01  1.000000000E-07
FCG:                 32  6.207978755E-01  1.000000000E-07
FCG:                 33  5.371011439E-01  1.000000000E-07
FCG:                 34  5.075723366E-01  1.000000000E-07
FCG:                 35  4.920918837E-01  1.000000000E-07
FCG:                 36  4.362301837E-01  1.000000000E-07
FCG:                 37  3.972976654E-01  1.000000000E-07
FCG:                 38  3.774235529E-01  1.000000000E-07
